length	diameter
44.01	17.675
33.21	19.994
54.629	16.964
41.733	18.907
47.546	16.996
52.058	15.594
41.599	17.983
53.086	16.706
42.126	17.966
42.985	18.534
35.063	18.09
46.465	17.688
43.129	17.901
44.357	17.573
46.54	17.71
56.776	15.742
39.738	19.09
42.65	18.09
41.464	18.171
48.928	16.378
40.323	17.679
58.246	16.444
44.65	18.501
41.39	18.534
53.332	17.374
43.691	17.587
48.143	16.927
51.303	16.743
44.997	17.145
45.176	17.05
49.162	17.423
38.69	17.819
44.486	18.564
40.298	18.231
55.55	16.307
48.239	17.086
48.027	15.727
42.766	18.668
47.95	16.706
35.89	17.714
44.105	17.32
54.56	15.712
48.239	16.743
31.457	17.534
43.263	22.539
55.096	16.927
39.262	18.307
45.112	18.107
45.549	16.812
39.849	17.145
31.962	16.058
41.932	17.797
44.429	18.442
50.004	15.145
38.762	17.476
41.354	19.472
38.182	18.103
43.591	17.6
45.155	16.571
47.226	16.927
72.705	14.26
50.32	16.9
42.766	17.086
43.825	17.262
48.706	17.253
42.452	16.52
44.24	16.155
48.765	17.987
43.306	16.927
39.756	18.576
46.286	16.706
43.055	17.845
39.527	18.129
48.934	17.573
45.658	17.086
52.978	16.812
54.815	17.467
45.854	17.551
42.51	18.142
43.613	16.826
34.284	19.775
57.373	15.752
44.105	21.505
32.148	16.155
47.03	16.706
59.19	16.571
49.538	16.706
45.937	18.06
45.052	17.28
49.949	17.534
50.412	17.086
48.464	16.155
45.359	16.608
42.859	17.819
44.315	17.423
47.684	15.845
44.539	17.81
47.33	17.427
47.226	10.76
47.499	12.014
46.261	12.017
48.625	11.526
49.593	11.879
51.333	11.309
51.303	10.485
51.094	11.571
45.752	12.923
43.954	12.981
47.351	9.647
48.675	13.945
50.128	11.035
50.172	11.391
51.043	9.622
47.205	10.625
49.045	11.069
45.959	15.028
49.913	12.04
45.652	12.32
51.301	10.042
49.953	12.541
49.222	11.689
47.123	11.651
45.788	10.219
50.253	12.017
49.367	12.694
41.034	10.589
50.538	11.989
45.124	12.351
45.953	12.25
50.767	12.952
50.786	12.508
40.266	10.846
38.76	9.387
44.784	11.651
46.625	11.701
44.725	11.391
42.801	12.737
46.937	10.246
49.126	13.026
47.506	10.396
46.362	12.681
47.389	12.541
51.18	11.52
40.245	11.792
33.46	9.633
40.808	10.957
48.044	11.285
42.761	12.791
42.923	13.008
47.932	10.396
49.637	11.208
45.319	11.156
53.266	10.498
58.352	10.818
46.391	12.467
45.988	11.43
50.809	11.571
53.893	11.33
51.694	11.303
51.145	11.072
48.619	11.355
50.742	11.966
50.326	10.846
45.917	12.106
46.166	12.037
46.598	11.838
47.793	10.093
48.741	11.013
46.563	12.401
54.922	10.922
50.067	9.035
46.433	12.334
42.133	10.066
47.684	11.888
46.698	12.39
44.959	11.3
43.183	11.847
45.519	11.849
41.369	10.578
61.8	10.279
55.02	11.355
55.134	12.959
55.683	11.009
50.138	12.558
45.647	11.474
48.776	12.426
44.4	11.806
42.087	10.431
32.856	10.043
47.111	11.455
29.256	8.922
39.019	9.496
25.356	8.184
45.146	10.757
29.832	5.566
42.97	10.677
38.52	9.718
46.79	10.83
45.41	11.53
42.32	12.07
42.79	12.83
52.44	13.21
44.56	13.52
43.64	13.77
50.38	13.87
45.45	15.52
41.46	15.59
47.44	15.8
39.28	16.3
43.38	16.39
53.3	16.48
41.48	16.63
45.56	16.67
50.95	16.79
47.78	16.99
50.97	16.99
42.79	17.02
49.03	17.2
52.49	17.36
46.94	17.36
51.29	17.73
52.32	17.81
43.72	17.86
42.58	17.9
54.75	18.24
48.85	18.27
49.02	18.28
48.91	18.4
46.87	18.72
46.75	18.74
48.49	18.76
46.45	18.84
51.48	19.03
46.24	19.15
48.81	19.16
50.71	19.4
50.71	19.47
50.92	19.49
49.14	19.74
50.35	19.77
49.22	19.8
45.74	19.82
52.2	19.92
49.36	19.93
43.53	20.11
50.95	20.27
50.2	20.42
53.03	20.69
48.8	20.71
54.8	20.79
47.15	20.82
56.22	20.86
46.01	20.91
51.29	20.96
51.52	21.04
44.33	21.11
48.49	21.12
50.61	21.12
48.2	21.2
49.01	21.2
55.46	21.24
48.84	21.26
49.05	21.28
52.55	21.29
51.34	21.29
54.13	21.42
50.71	21.43
43.43	21.56
51.03	21.59
61.4	21.59
48.55	21.6
51.71	21.61
51.94	21.66
55.22	21.69
52.65	21.75
47.34	21.84
56.59	21.94
52.28	21.95
49.99	21.95
49.45	22
49.58	22.01
54.56	22.08
48.33	22.21
56.26	22.28
46.72	22.3
47.75	22.34
50.59	22.35
55.05	22.35
48.26	22.38
53.21	22.43
53.23	22.48
51.64	22.49
47.4	22.53
53.51	22.58
48.21	22.59
49.94	22.61
52.03	22.65
51.98	22.72
48.14	22.74
53.1	22.82
52.9	22.83
49.96	22.83
51.04	22.85
51.86	22.92
49.01	22.92
45.74	22.95
43.34	22.96
44	22.96
53.04	22.96
52.65	22.96
51.55	22.98
44.81	23
49.91	23.03
53.58	23.05
50.32	23.06
45.88	23.07
50.05	23.07
49.34	23.11
53.41	23.11
50.97	23.11
50.49	23.17
51.5	23.19
46.03	23.23
43.32	23.26
47.8	23.27
49.48	23.29
54.02	23.29
49.22	23.37
55.05	23.37
51.11	23.41
49.7	23.42
50.5	23.43
